bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
21200 - Stadt Neudorf (Moritzburger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21200-stadtneudorfmoritzburgerstr_gesamt.html,,AfD,"Vogel, Stefan",20,4
90610 - Mobschatz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90610-mobschatz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",79,"21,6"
54002 - Striesen-West-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-54002-striesen-west-2_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",268,"34,4"
64000 - Großzschachwitz/​Sporbitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-64000-grozschachwitzsporbitz_gesamt.html,,Die PARTEI,"Stosch, Lars",9,"1,9"
85100 - Coschütz-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85100-coschtz-ost_gesamt.html,,Die PARTEI,"Stosch, Lars",12,"2,1"
14600 - Leipziger Vorstadt (Oberer Hecht),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14600-leipzigervorstadtobererhecht_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",176,"35,3"
06300 - Johannstadt-Nord (Hopfgartenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06300-johannstadt-nordhopfgartenstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",73,"26,1"
11200 - Äußere Neustadt (Timäusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11200-uereneustadttimusstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",409,"71,8"
98402 - Briesnitz (Auf der Scheibe),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98402-briesnitzaufderscheibe_gesamt.html,,Ungültige,,4,"1,2"
93102 - Löbtau-Süd (Bonhoefferplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93102-lbtau-sdbonhoefferplatz_gesamt.html,,AfD,"Vogel, Stefan",16,4
72000 - Prohlis-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-72000-prohlis-sd_gesamt.html,,Gültige,,508,"98,6"
72200 - Prohlis-Süd (Finsterwalder Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-72200-prohlis-sdfinsterwalderstr-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",89,33
75902 - Mockritz-Ost (Gostritzer Str.-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75902-mockritz-ostgostritzerstr-nord_gesamt.html,01100 - Innere Altstadt,,,,
41000 - Loschwitz/​Wachwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-41000-loschwitzwachwitz_gesamt.html,,CDU,"Ulbig, Markus",104,"12,5"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,01100 - Innere Altstadt,,,,
32400 - Hellerau (Markt),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-32400-helleraumarkt_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",196,"33,1"
81001 - Südvorstadt-West-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-81001-sdvorstadt-west-1_gesamt.html,,Festerling,"Festerling, Tatjana",25,"3,8"
56402 - Dobritz (Kadenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56402-dobritzkadenstr_gesamt.html,,Festerling,"Festerling, Tatjana",90,14
90312 - Gohlis-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90312-gohlis-west_gesamt.html,,Festerling,"Festerling, Tatjana",51,"14,2"
83800 - Zschertnitz (Tizianstr.)/​Strehlen-SW,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83800-zschertnitztizianstrstrehlen-sw_gesamt.html,01100 - Innere Altstadt,,,,
11100 - Äuß. Neust. (Stetzscher/​Katharinenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11100-uneuststetzscherkatharinenstr_gesamt.html,,Festerling,"Festerling, Tatjana",9,"1,4"
75600 - Leubnitz (Wieckestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75600-leubnitzwieckestr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",128,"30,4"
57800 - Gruna (Wiesenstr.)/​Strehlen (Basteistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-57800-grunawiesenstrstrehlenbasteistr_gesamt.html,,Festerling,"Festerling, Tatjana",44,"9,2"
41300 - Oberloschwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41300-oberloschwitz_gesamt.html,,Die PARTEI,"Stosch, Lars",14,"3,6"
92200 - Löbtau-Nord (Altlöbtau),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92200-lbtau-nordaltlbtau_gesamt.html,,CDU,"Ulbig, Markus",80,"15,5"
24200 - Trachau (Wahnsdorfer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24200-trachauwahnsdorferstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",259,"44,7"
81900 - Südvorstadt-West (Bayreuther Str.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81900-sdvorstadt-westbayreutherstr-ost_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",99,"25,9"
11001 - Äußere Neustadt-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-11001-uereneustadt-1_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",394,"66,6"
25001 - Pieschen-Nord-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-25001-pieschen-nord-1_gesamt.html,,Ungültige,,2,"0,4"
03400 - Strehlen (Tiergartenstr.-West/​Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-03400-strehlentiergartenstr-westost_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",233,"33,9"
99310 - Pennrich,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-99310-pennrich_gesamt.html,01100 - Innere Altstadt,,,,
93001 - Löbtau-Süd-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-93001-lbtau-sd-1_gesamt.html,,Gültige,,579,"99,8"
22000 - Mickten/​Übigau/​Trachau-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-22000-micktenbigautrachau-sd_gesamt.html,,AfD,"Vogel, Stefan",61,"6,1"
95500 - Gorb.-Süd (Altgorb.Ring-Mitt/​Hirtenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95500-gorb-sdaltgorbring-mitthirtenstr_gesamt.html,,Ungültige,,4,"0,9"
12302 - Radeberger Vorstadt (Fischhausstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12302-radebergervorstadtfischhausstr_gesamt.html,,AfD,"Vogel, Stefan",15,"4,6"
75001 - Leubnitz-Neuostra-1/​Torna,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-75001-leubnitz-neuostra-1torna_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",334,"31,5"
54200 - Striesen-West (Tittmannstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54200-striesen-westtittmannstr_gesamt.html,,Festerling,"Festerling, Tatjana",31,"5,4"
02000 - Pirnaische Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-02000-pirnaischevorstadt_gesamt.html,01100 - Innere Altstadt,,,,
07001 - Johannstadt-Süd-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-07001-johannstadt-sd-1_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",239,32
82400 - Südvorstadt-Ost (Ackermannstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82400-sdvorstadt-ostackermannstr_gesamt.html,,Die PARTEI,"Stosch, Lars",17,"3,1"
61200 - Leuben (Stephensonstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61200-leubenstephensonstr_gesamt.html,,AfD,"Vogel, Stefan",26,"6,4"
90710 - Alt-Leu./​Brab./​Rennersd./​Merbitz/​Podemus,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90710-alt-leubrabrennersdmerbitzpodemus_gesamt.html,,AfD,"Vogel, Stefan",18,"9,6"
63301 - Meußlitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63301-meulitz-nord_gesamt.html,,CDU,"Ulbig, Markus",102,"19,1"
63401 - Zschieren-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63401-zschieren-nord_gesamt.html,,Die PARTEI,"Stosch, Lars",2,"0,5"
76002 - Strehlen 2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76002-strehlen2_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",163,"32,3"
86002 - Plauen-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-86002-plauen-2_gesamt.html,,Gültige,,678,"99,3"
55800 - Seidnitz-Nord (Schlottwitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55800-seidnitz-nordschlottwitzerstr_gesamt.html,,CDU,"Ulbig, Markus",93,20
11003 - Äußere Neustadt-3,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-11003-uereneustadt-3_gesamt.html,,Festerling,"Festerling, Tatjana",10,"1,5"
86800 - Plauen (Hohenplauen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86800-plauenhohenplauen_gesamt.html,,AfD,"Vogel, Stefan",15,"3,2"
92400 - Löbtau-Nord (Conertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92400-lbtau-nordconertplatz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",165,"47,3"
82300 - Südvorstadt-Ost (Lukasplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82300-sdvorstadt-ostlukasplatz_gesamt.html,,Die PARTEI,"Stosch, Lars",21,"4,2"
83300 - Zschertnitz (Auguste-Lazar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83300-zschertnitzauguste-lazar-str_gesamt.html,,CDU,"Ulbig, Markus",81,"19,2"
91502 - Cotta (Hölderlinstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91502-cottahlderlinstr_gesamt.html,01100 - Innere Altstadt,,,,
90110 - Cossebaude-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90110-cossebaude-nord_gesamt.html,,Ungültige,,3,"0,6"
74000 - Lockwitz/​Luga/​Nickern/​Kauscha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-74000-lockwitzluganickernkauscha_gesamt.html,,Die PARTEI,"Stosch, Lars",12,"2,1"
76100 - Strehlen (August-Bebel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76100-strehlenaugust-bebel-str_gesamt.html,01100 - Innere Altstadt,,,,
82000 - Südvorstadt-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-82000-sdvorstadt-ost_gesamt.html,,AfD,"Vogel, Stefan",30,4
41300 - Oberloschwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41300-oberloschwitz_gesamt.html,,Gültige,,388,"99,5"
22000 - Mickten/​Übigau/​Trachau-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-22000-micktenbigautrachau-sd_gesamt.html,,CDU,"Ulbig, Markus",141,"14,2"
55300 - Tolkewitz (Marienberger Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55300-tolkewitzmarienbergerstr_gesamt.html,,Festerling,"Festerling, Tatjana",67,"12,5"
85100 - Coschütz-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85100-coschtz-ost_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",179,32
31002 - Klotzsche-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31002-klotzsche-2_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",213,"31,1"
83300 - Zschertnitz (Auguste-Lazar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83300-zschertnitzauguste-lazar-str_gesamt.html,,Festerling,"Festerling, Tatjana",54,"12,8"
22000 - Mickten/​Übigau/​Trachau-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-22000-micktenbigautrachau-sd_gesamt.html,,Ungültige,,7,"0,7"
92500 - Löbtau-Nord (Malterstr-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92500-lbtau-nordmalterstr-nord_gesamt.html,,Die PARTEI,"Stosch, Lars",22,"4,5"
14402 - Leipziger Vorstadt (Unterer Hecht-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14402-leipzigervorstadtuntererhecht-ost_gesamt.html,,AfD,"Vogel, Stefan",7,"1,2"
81100 - Südvorstadt-West (Feldschlößchenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81100-sdvorstadt-westfeldschlchenstr_gesamt.html,,Festerling,"Festerling, Tatjana",55,"17,1"
45310 - Weißig (An der Prießnitzaue),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45310-weiiganderprienitzaue_gesamt.html,,CDU,"Ulbig, Markus",81,"21,3"
94600 - Niedergorbitz/​Roßthal,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94600-niedergorbitzrothal_gesamt.html,,CDU,"Ulbig, Markus",90,"15,6"
24300 - Trachau (Stephanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24300-trachaustephanstr_gesamt.html,,AfD,"Vogel, Stefan",20,4
92100 - Löbtau-Nord (Ebertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92100-lbtau-nordebertplatz_gesamt.html,,Gültige,,487,"99,8"
54002 - Striesen-West-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-54002-striesen-west-2_gesamt.html,,Ungültige,,6,"0,8"
74302 - Nickern (Nickerner Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74302-nickernnickernerplatz_gesamt.html,,Gültige,,559,"98,1"
11200 - Äußere Neustadt (Timäusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11200-uereneustadttimusstr_gesamt.html,,Ungültige,,7,"1,2"
94200 - Wölfnitz/​Naußlitz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94200-wlfnitznaulitz-west_gesamt.html,01100 - Innere Altstadt,,,,
07001 - Johannstadt-Süd-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-07001-johannstadt-sd-1_gesamt.html,,Ungültige,,2,"0,3"
43100 - Niederpoyritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-43100-niederpoyritz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",71,"29,7"
71200 - Prohlis-Nord (Am Anger),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71200-prohlis-nordamanger_gesamt.html,01100 - Innere Altstadt,,,,
31001 - Klotzsche-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31001-klotzsche-1_gesamt.html,,Die PARTEI,"Stosch, Lars",6,"0,9"
24800 - Trachau (Neuländer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24800-trachauneulnderstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",135,32
07001 - Johannstadt-Süd-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-07001-johannstadt-sd-1_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",312,"41,7"
