bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
23400 - Kaditz (Riegelplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-23400-kaditzriegelplatz_gesamt.html,,CDU,"Ulbig, Markus",78,19
91300 - Cotta (Weidentalstr.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91300-cottaweidentalstr-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",154,"31,4"
21400 - Pieschen-Süd (Altpieschen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21400-pieschen-sdaltpieschen_gesamt.html,,AfD,"Vogel, Stefan",18,"3,5"
31100 - Klotzsche (Altklotzsche),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31100-klotzschealtklotzsche_gesamt.html,,Festerling,"Festerling, Tatjana",70,"10,2"
24002 - Trachau-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-24002-trachau-2_gesamt.html,,CDU,"Ulbig, Markus",72,"13,1"
24700 - Trachau (Richard-Rösch-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24700-trachaurichard-rsch-str_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",129,"36,2"
45110 - Weißig (Heidestr./​Marienbäder),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45110-weiigheidestrmarienbder_gesamt.html,,Gültige,,479,"99,4"
83200 - Zschertnitz (Böllstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83200-zschertnitzbllstr_gesamt.html,,Die PARTEI,"Stosch, Lars",9,"3,3"
23400 - Kaditz (Riegelplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-23400-kaditzriegelplatz_gesamt.html,,Ungültige,,6,"1,4"
73000 - Niedersedlitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-73000-niedersedlitz_gesamt.html,,Die PARTEI,"Stosch, Lars",3,"0,5"
83200 - Zschertnitz (Böllstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83200-zschertnitzbllstr_gesamt.html,,Ungültige,,1,"0,4"
85000 - Coschütz/​Gittersee,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-85000-coschtzgittersee_gesamt.html,,Festerling,"Festerling, Tatjana",33,"4,8"
75500 - Leubnitz (Altleubnitz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75500-leubnitzaltleubnitz_gesamt.html,01100 - Innere Altstadt,,,,
95600 - Gorbitz-Süd (Wilsdruffer Ring),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95600-gorbitz-sdwilsdrufferring_gesamt.html,,CDU,"Ulbig, Markus",33,"9,5"
55200 - Tolkewitz (Knappestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55200-tolkewitzknappestr_gesamt.html,01100 - Innere Altstadt,,,,
85302 - Gittersee-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85302-gittersee-sd_gesamt.html,,Gültige,,354,"98,1"
04200 - Wilsdruffer Vorstadt (Ermischstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04200-wilsdruffervorstadtermischstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",129,"35,2"
13000 - Innere Neustadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-13000-innereneustadt_gesamt.html,01100 - Innere Altstadt,,,,
35510 - Gomlitz/​Alt-Weixdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35510-gomlitzalt-weixdorf_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",162,"42,2"
75800 - Leubnitz (Feuerbachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75800-leubnitzfeuerbachstr_gesamt.html,01100 - Innere Altstadt,,,,
03300 - Seevorstadt-Ost (Lindengasse),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-03300-seevorstadt-ostlindengasse_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",193,"38,5"
54001 - Striesen-West-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-54001-striesen-west-1_gesamt.html,,Gültige,,749,"99,7"
13100 - Innere Neustadt (Königstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13100-innereneustadtknigstr_gesamt.html,,AfD,"Vogel, Stefan",12,"2,7"
97300 - Neu-Omsewitz (Ginster-/​Sanddornstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-97300-neu-omsewitzginster-sanddornstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",129,"26,7"
57302 - Gruna (Gartenheimallee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-57302-grunagartenheimallee_gesamt.html,,Gültige,,385,"99,2"
06002 - Johannstadt-Nord-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-06002-johannstadt-nord-2_gesamt.html,,CDU,"Ulbig, Markus",74,"11,5"
06600 - Johannstadt-Nord (Gutenbergstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-06600-johannstadt-nordgutenbergstr_gesamt.html,,Die PARTEI,"Stosch, Lars",12,"2,3"
43200 - Hosterwitz/​Pillnitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-43200-hosterwitzpillnitz_gesamt.html,01100 - Innere Altstadt,,,,
81200 - Südvorstadt-West (Bayrische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81200-sdvorstadt-westbayrischestr_gesamt.html,,Festerling,"Festerling, Tatjana",40,"6,1"
35610 - Marsdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35610-marsdorf_gesamt.html,01100 - Innere Altstadt,,,,
54600 - Striesen-West (Altstriesen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54600-striesen-westaltstriesen_gesamt.html,,Festerling,"Festerling, Tatjana",44,7
53002 - Striesen-Süd-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-53002-striesen-sd-2_gesamt.html,,Ungültige,,3,"0,4"
07100 - Johannstadt-Süd (Marschnerstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07100-johannstadt-sdmarschnerstr_gesamt.html,,Ungültige,,5,1
04100 - Wilsdruffer Vorstadt (Ostra-Allee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04100-wilsdruffervorstadtostra-allee_gesamt.html,,CDU,"Ulbig, Markus",48,"14,6"
04500 - Seevorstadt-West (Sternplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04500-seevorstadt-weststernplatz_gesamt.html,,Ungültige,,5,"1,3"
31701 - Klotzsche (Am Trobischberg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31701-klotzscheamtrobischberg_gesamt.html,,Gültige,,357,100
61400 - Leuben/​Niedersedlitz (Sachsenwerkstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61400-leubenniedersedlitzsachsenwerkstr_gesamt.html,,Die PARTEI,"Stosch, Lars",10,"2,9"
03100 - Seevorstadt-Ost (Prager Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-03100-seevorstadt-ostpragerstr_gesamt.html,01100 - Innere Altstadt,,,,
94000 - Naußlitz/​Wölfnitz/​Dölzschen/​Roßthal,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-94000-naulitzwlfnitzdlzschenrothal_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",363,"37,7"
93101 - Löbtau-Süd (Schillingplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93101-lbtau-sdschillingplatz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",134,"25,4"
35510 - Gomlitz/​Alt-Weixdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35510-gomlitzalt-weixdorf_gesamt.html,01100 - Innere Altstadt,,,,
53700 - Striesen-Süd (Hepkeplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53700-striesen-sdhepkeplatz_gesamt.html,,Gültige,,381,"99,2"
11002 - Äußere Neustadt-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-11002-uereneustadt-2_gesamt.html,01100 - Innere Altstadt,,,,
42200 - Loschwitz-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42200-loschwitz-nordost_gesamt.html,,Ungültige,,11,"1,7"
86200 - Plauen (Würzburger Str.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86200-plauenwrzburgerstr-ost_gesamt.html,,CDU,"Ulbig, Markus",93,"17,2"
56800 - Seidnitz (Hirschbacher Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56800-seidnitzhirschbacherweg_gesamt.html,,Festerling,"Festerling, Tatjana",43,"12,7"
31500 - Klotzsche (Königswald-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31500-klotzscheknigswald-sd_gesamt.html,01100 - Innere Altstadt,,,,
63401 - Zschieren-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63401-zschieren-nord_gesamt.html,,Gültige,,403,"99,3"
24400 - Trachau (Platanenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24400-trachauplatanenstr_gesamt.html,01100 - Innere Altstadt,,,,
75800 - Leubnitz (Feuerbachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75800-leubnitzfeuerbachstr_gesamt.html,,Festerling,"Festerling, Tatjana",46,"8,5"
21400 - Pieschen-Süd (Altpieschen),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-21400-pieschen-sdaltpieschen_gesamt.html,,CDU,"Ulbig, Markus",61,"11,8"
23300 - Kaditz (Altkaditz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-23300-kaditzaltkaditz_gesamt.html,,AfD,"Vogel, Stefan",23,"4,8"
42002 - Bühlau/​Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-42002-bhlaurochwitz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",314,"40,5"
05000 - Friedrichstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-05000-friedrichstadt_gesamt.html,,Die PARTEI,"Stosch, Lars",39,"7,3"
53700 - Striesen-Süd (Hepkeplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53700-striesen-sdhepkeplatz_gesamt.html,01100 - Innere Altstadt,,,,
92000 - Löbtau-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-92000-lbtau-nord_gesamt.html,,Festerling,"Festerling, Tatjana",47,6
07300 - Johannstadt-Süd (Nicolaistr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07300-johannstadt-sdnicolaistr_gesamt.html,01100 - Innere Altstadt,,,,
56900 - Seidnitz (Ulberndorfer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-56900-seidnitzulberndorferweg_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",113,"33,7"
84200 - Kleinpestitz (Eppendorfer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-84200-kleinpestitzeppendorferweg_gesamt.html,,CDU,"Ulbig, Markus",68,"20,1"
98002 - Briesnitz-2/​Leutewitz/​Omsewitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-98002-briesnitz-2leutewitzomsewitz_gesamt.html,,AfD,"Vogel, Stefan",27,"5,9"
11300 - Äußere Neustadt (Jordanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11300-uereneustadtjordanstr_gesamt.html,,CDU,"Ulbig, Markus",48,"7,1"
51001 - Blasewitz-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-51001-blasewitz-1_gesamt.html,,Gültige,,658,"99,4"
92100 - Löbtau-Nord (Ebertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92100-lbtau-nordebertplatz_gesamt.html,,CDU,"Ulbig, Markus",74,"15,2"
62400 - Laubegast (Altlaubegast),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62400-laubegastaltlaubegast_gesamt.html,,AfD,"Vogel, Stefan",30,"4,7"
14002 - Leipziger Vorstadt-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-14002-leipzigervorstadt-2_gesamt.html,,CDU,"Ulbig, Markus",44,"6,7"
15100 - Albertstadt-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-15100-albertstadt-west_gesamt.html,,Die PARTEI,"Stosch, Lars",17,"4,4"
96100 - Gorbitz-Ost (Am Gorbitzbach),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96100-gorbitz-ostamgorbitzbach_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",195,"40,7"
95000 - Gorbitz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-95000-gorbitz-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",210,"40,2"
76600 - Strehlen (H.-Lohmar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76600-strehlenh-lohmar-str_gesamt.html,,Gültige,,375,"97,4"
11003 - Äußere Neustadt-3,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-11003-uereneustadt-3_gesamt.html,,Ungültige,,6,"0,9"
98300 - Briesnitz (Zschonerallee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98300-briesnitzzschonerallee_gesamt.html,,CDU,"Ulbig, Markus",97,"18,4"
98200 - Kemnitz/​Briesnitz (Hammeraue),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98200-kemnitzbriesnitzhammeraue_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",211,31
76100 - Strehlen (August-Bebel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-76100-strehlenaugust-bebel-str_gesamt.html,,Gültige,,505,"99,6"
55102 - Tolkewitz (Theodorstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55102-tolkewitztheodorstr_gesamt.html,,CDU,"Ulbig, Markus",68,"13,4"
32100 - Wilschdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-32100-wilschdorf_gesamt.html,,CDU,"Ulbig, Markus",102,"16,1"
75201 - Leubnitz (Wilhelm-Franke-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75201-leubnitzwilhelm-franke-str_gesamt.html,,AfD,"Vogel, Stefan",19,"4,3"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",11,3
94400 - Naußlitz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94400-naulitz-sd_gesamt.html,,Gültige,,462,"99,8"
31001 - Klotzsche-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31001-klotzsche-1_gesamt.html,,Gültige,,667,"99,1"
96300 - Gorbitz-Ost (Asternweg/​Leutew. Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96300-gorbitz-ostasternwegleutewring-ost_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",86,"21,3"
12302 - Radeberger Vorstadt (Fischhausstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12302-radebergervorstadtfischhausstr_gesamt.html,,Die PARTEI,"Stosch, Lars",10,3
41200 - Loschwitz (Körnerplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41200-loschwitzkrnerplatz_gesamt.html,,Die PARTEI,"Stosch, Lars",15,"2,6"
86001 - Plauen-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-86001-plauen-1_gesamt.html,,Gültige,,778,"99,6"
97100 - Gorbitz-Nord (Omsewitzer Ring),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-97100-gorbitz-nordomsewitzerring_gesamt.html,,Festerling,"Festerling, Tatjana",87,"18,9"
91102 - Cotta (Omsewitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91102-cottaomsewitzerstr_gesamt.html,,CDU,"Ulbig, Markus",57,"15,5"
05300 - Friedrichstadt (Friedrichstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05300-friedrichstadtfriedrichstr_gesamt.html,,Festerling,"Festerling, Tatjana",58,"11,4"
52600 - Striesen-Ost (Voglerstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52600-striesen-ostvoglerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",14,"2,7"
75202 - Leubnitz (Leubnitzer Höhe),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75202-leubnitzleubnitzerhhe_gesamt.html,,Festerling,"Festerling, Tatjana",64,"13,5"
11500 - Äußere Neustadt (Görlitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11500-uereneustadtgrlitzerstr_gesamt.html,,Ungültige,,6,"0,8"
98500 - Omsewitz (Altomsewitz/​Omsewitzer Höhe),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98500-omsewitzaltomsewitzomsewitzerhhe_gesamt.html,,Festerling,"Festerling, Tatjana",77,"11,7"
47110 - Schönfeld/​Krieschendorf/​Malschendorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-47110-schnfeldkrieschendorfmalschendorf_gesamt.html,01100 - Innere Altstadt,,,,
83300 - Zschertnitz (Auguste-Lazar-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83300-zschertnitzauguste-lazar-str_gesamt.html,,AfD,"Vogel, Stefan",18,"4,3"
31300 - Klotzsche (Grüner Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31300-klotzschegrnerweg_gesamt.html,01100 - Innere Altstadt,,,,
90010 - Cossebaude/​Mobschatz/​Oberwartha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-90010-cossebaudemobschatzoberwartha_gesamt.html,,Gültige,,704,"99,4"
82300 - Südvorstadt-Ost (Lukasplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82300-sdvorstadt-ostlukasplatz_gesamt.html,,Ungültige,,3,"0,6"
92300 - Löbtau-Nord (Grumbacher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92300-lbtau-nordgrumbacherstr_gesamt.html,,AfD,"Vogel, Stefan",20,"3,9"
25300 - Pieschen-Nord (Hellerauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-25300-pieschen-nordhellerauerstr_gesamt.html,,CDU,"Ulbig, Markus",98,"18,9"
35610 - Marsdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35610-marsdorf_gesamt.html,,Ungültige,,2,"1,9"
96300 - Gorbitz-Ost (Asternweg/​Leutew. Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96300-gorbitz-ostasternwegleutewring-ost_gesamt.html,,Gültige,,403,"98,8"
61400 - Leuben/​Niedersedlitz (Sachsenwerkstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61400-leubenniedersedlitzsachsenwerkstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",76,"22,2"
45210 - Weißig (Am Weißiger Bach),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45210-weiigamweiigerbach_gesamt.html,,CDU,"Ulbig, Markus",92,"22,8"
42200 - Loschwitz-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42200-loschwitz-nordost_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",236,"37,6"
77300 - Reick (Lübbenauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-77300-reicklbbenauerstr_gesamt.html,,Ungültige,,3,"1,1"
07800 - Johannstadt-Süd (Maria-Cebotari-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07800-johannstadt-sdmaria-cebotari-str_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",111,"28,9"
97600 - Neu-Omsewitz (Harthaer /​Schlehenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-97600-neu-omsewitzharthaerschlehenstr_gesamt.html,,Gültige,,405,"98,8"
99010 - Altfranken/​Gompitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-99010-altfrankengompitz_gesamt.html,,CDU,"Ulbig, Markus",61,"12,9"
73300 - Niedersedlitz (Windmühlenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73300-niedersedlitzwindmhlenstr_gesamt.html,,CDU,"Ulbig, Markus",73,"20,5"
96600 - Gorbitz-Ost (Leutewitzer Ring-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-96600-gorbitz-ostleutewitzerring-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",118,"29,1"
63401 - Zschieren-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63401-zschieren-nord_gesamt.html,,Festerling,"Festerling, Tatjana",74,"18,4"
05100 - Friedrichstadt (Löbtauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05100-friedrichstadtlbtauerstr_gesamt.html,,Die PARTEI,"Stosch, Lars",32,"6,3"
75500 - Leubnitz (Altleubnitz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75500-leubnitzaltleubnitz_gesamt.html,,Gültige,,493,"99,4"
86100 - Plauen (Würzburger Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86100-plauenwrzburgerstr-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",258,"41,5"
75202 - Leubnitz (Leubnitzer Höhe),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75202-leubnitzleubnitzerhhe_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",192,"40,6"
31800 - Klotzsche (Binzer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31800-klotzschebinzerweg_gesamt.html,,Gültige,,304,"99,3"
22600 - Mickten (Altmickten)/​Übigau-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22600-micktenaltmicktenbigau-nord_gesamt.html,,AfD,"Vogel, Stefan",25,"5,9"
25002 - Pieschen-Nord-2/​Trachenberge,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-25002-pieschen-nord-2trachenberge_gesamt.html,01100 - Innere Altstadt,,,,
12302 - Radeberger Vorstadt (Fischhausstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12302-radebergervorstadtfischhausstr_gesamt.html,,Festerling,"Festerling, Tatjana",28,"8,5"
42100 - Weißer Hirsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42100-weierhirsch_gesamt.html,01100 - Innere Altstadt,,,,
07600 - Johannstadt-Süd (Cranachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07600-johannstadt-sdcranachstr_gesamt.html,01100 - Innere Altstadt,,,,
85302 - Gittersee-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85302-gittersee-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",70,"19,8"
13300 - Innere Neustadt (Wigardstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13300-innereneustadtwigardstr_gesamt.html,,AfD,"Vogel, Stefan",11,"1,7"
75901 - Mockritz-Ost (Dora-Stock-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75901-mockritz-ostdora-stock-str_gesamt.html,,AfD,"Vogel, Stefan",15,"4,7"
15000 - Albertstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-15000-albertstadt_gesamt.html,,CDU,"Ulbig, Markus",38,"12,5"
81800 - Südvorstadt-West (Bayreuther Str.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81800-sdvorstadt-westbayreutherstr-west_gesamt.html,,Festerling,"Festerling, Tatjana",20,5
73101 - Niedersedlitz (Friedrich-Ebert-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-73101-niedersedlitzfriedrich-ebert-str_gesamt.html,,CDU,"Ulbig, Markus",105,"17,2"
81200 - Südvorstadt-West (Bayrische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81200-sdvorstadt-westbayrischestr_gesamt.html,,Gültige,,658,"99,1"
42002 - Bühlau/​Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-42002-bhlaurochwitz_gesamt.html,,AfD,"Vogel, Stefan",30,"3,9"
81400 - Südvorstadt-West (Schnorrstr.-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-81400-sdvorstadt-westschnorrstr-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",213,36
